datetime,datetime,value
0,0,1.7947161973580805
0,15,1.7360933743990385
0,30,1.7246268910063793
0,45,1.6811779857387203
1,0,1.6305789383205436
1,15,1.5830341767982619
1,30,1.5431706355168269
1,45,1.5094468156261558
2,0,1.471330811991494
2,15,1.4448011951333672
2,30,1.4157352786092363
2,45,1.3934818245250093
3,0,1.3799465523160543
3,15,1.3652402350962427
3,30,1.3498882254258215
3,45,1.344132709362306
4,0,1.3330056487721567
4,15,1.3253231527534157
4,30,1.325769241310469
4,45,1.3328399432814808
5,0,1.3353193950793945
5,15,1.3632180511159067
5,30,1.3842750898668297
5,45,1.3869048305945346
6,0,1.3940769573082072
6,15,1.4080229045017079
6,30,1.423767991397018
6,45,1.4376969893890787
7,0,1.4567085840853489
7,15,1.4977215945808715
7,30,1.5486094081771602
7,45,1.5860209838326256
8,0,1.630986674321455
8,15,1.6999192568893096
8,30,1.7504075020771788
8,45,1.8060297325055392
9,0,1.8641223991991323
9,15,1.9349924197401218
9,30,1.9828560630539143
9,45,2.01009198728305
10,0,2.030177512232275
10,15,2.0522792709102657
10,30,2.0749329604989843
10,45,2.098751997842042
11,0,2.1211545146902697
11,15,2.1448172226966395
11,30,2.1652554352843425
11,45,2.176948581171529
12,0,2.1842984040343425
12,15,2.167916279599797
12,30,2.175581105174483
12,45,2.170869227174114
13,0,2.177739964630262
13,15,2.1727192144802436
13,30,2.173526284965842
13,45,2.164960086433715
14,0,2.1586609337495384
14,15,2.1662978674533098
14,30,2.1585590430265347
14,45,2.1530752689880734
15,0,2.1404111963757395
15,15,2.1341552734375
15,30,2.1308810442862427
15,45,2.1259131798377404
16,0,2.1090389454858545
16,15,2.093381260979105
16,30,2.088179007084412
16,45,2.077947492430196
17,0,2.069449881830159
17,15,2.0556875375600963
17,30,2.0601477989783654
17,45,2.061630881044286
18,0,2.0525536170372596
18,15,2.0402687569341715
18,30,2.050182635967548
18,45,2.0481868947046045
19,0,2.0608128654886277
19,15,2.063578227567955
19,30,2.0783893652921597
19,45,2.09423322508321
20,0,2.1186664287860575
20,15,2.1354872122318787
20,30,2.1629998020871857
20,45,2.181346103284486
21,0,2.193605682553624
21,15,2.1819851666512573
21,30,2.161404400887574
21,45,2.1450202535595415
22,0,2.11137399165588
22,15,2.084402050492326
22,30,2.05986537594767
22,45,2.021254499988443
23,0,1.9838444636418269
23,15,1.9450331467848558
23,30,1.8977390266734468
23,45,1.842807024893676
